Instância,Seed,Tempo,It_total,It_reset,Mean,Best
47_1_360_120_20.txt, 1710091068, 180, 0, 1000, 3090.33, 3101
47_2_360_120_20.txt, 4050051383, 180, 0, 1000, 4028.33, 4047
47_5_360_120_20.txt, 4284434832, 180, 0, 1000, 5519.89, 5566
47_7_360_120_20.txt, 390413890, 180, 0, 1000, 5289.67, 5315.67
47_10_360_120_20.txt, 4164643492, 180, 0, 1000, 5256, 5357.33
51_1_360_120_20.txt, 2868673715, 180, 0, 1000, 315.222, 325
51_2_360_120_20.txt, 1657853244, 180, 0, 1000, 405.444, 405.667
51_5_360_120_20.txt, 111157822, 180, 0, 1000, 550.556, 551.667
51_7_360_120_20.txt, 3143724517, 180, 0, 1000, 551.667, 561
51_10_360_120_20.txt, 2553460260, 180, 0, 1000, 527.889, 536.667
107_1_360_120_20.txt, 235617442, 180, 0, 1000, 3128.22, 3141
107_2_360_120_20.txt, 1549624879, 180, 0, 1000, 4166.44, 4173.33
107_5_360_120_20.txt, 2264239733, 180, 0, 1000, 5808.22, 5863.33
107_7_360_120_20.txt, 1545244241, 180, 0, 1000, 6475.33, 6498.33
107_10_360_120_20.txt, 2635338646, 180, 0, 1000, 7092, 7142.67
146_1_360_120_20.txt, 1736341933, 180, 0, 1000, 676.333, 689.667
146_2_360_120_20.txt, 633220791, 180, 0, 1000, 972.778, 991
146_5_360_120_20.txt, 1358497882, 180, 0, 1000, 1448.44, 1461.67
146_7_360_120_20.txt, 849654806, 180, 0, 1000, 1611.67, 1614.67
146_10_360_120_20.txt, 2785074980, 180, 0, 1000, 1790, 1807.33
10_1_360_90_20.txt, 164998749, 180, 0, 1000, 540.444, 542
16_1_360_90_20.txt, 1790900352, 180, 0, 1000, 670.556, 674.333
21_1_360_90_20.txt, 682904594, 180, 0, 1000, 826.222, 831
10_1_360_120_20.txt, 1975994853, 180, 0, 1000, 453.444, 453.667
16_1_360_120_20.txt, 3102984260, 180, 0, 1000, 570.889, 572.333
21_1_360_120_20.txt, 4252769364, 180, 0, 1000, 691, 692
10_1_360_180_20.txt, 1409084282, 180, 0, 1000, 160, 160
16_1_360_180_20.txt, 3368313237, 180, 0, 1000, 454.333, 454.333
21_1_360_180_20.txt, 2539965837, 180, 0, 1000, 536.222, 536.667
10_1_360_360_20.txt, 1584323395, 180, 0, 1000, 160, 160
16_1_360_360_20.txt, 3823733958, 180, 0, 1000, 249, 249
21_1_360_360_20.txt, 3947478060, 180, 0, 1000, 323, 323
